DATE,ATNHPIUS41620Q
1977-07-01,37.92
1977-10-01,38.62
1978-01-01,41.17
1978-04-01,42
1978-07-01,44.36
1978-10-01,45.3
1979-01-01,48.43
1979-04-01,50.22
1979-07-01,49.87
1979-10-01,51.4
1980-01-01,50.66
1980-04-01,48.79
1980-07-01,52.81
1980-10-01,51.37
1981-01-01,55.38
1981-04-01,54.87
1981-07-01,54.41
1981-10-01,60.22
1982-01-01,55.41
1982-04-01,56.7
1982-07-01,55.89
1982-10-01,57.44
1983-01-01,58.58
1983-04-01,58.91
1983-07-01,58.74
1983-10-01,59.99
1984-01-01,59.51
1984-04-01,59.69
1984-07-01,62.17
1984-10-01,59.18
1985-01-01,61.47
1985-04-01,62.09
1985-07-01,61.18
1985-10-01,61
1986-01-01,63.52
1986-04-01,63.48
1986-07-01,62.75
1986-10-01,63.04
1987-01-01,63.45
1987-04-01,63.44
1987-07-01,61.02
1987-10-01,59.71
1988-01-01,59.84
1988-04-01,59.64
1988-07-01,59.91
1988-10-01,58.2
1989-01-01,59.28
1989-04-01,59.33
1989-07-01,60.8
1989-10-01,60.43
1990-01-01,61.02
1990-04-01,61.65
1990-07-01,62.74
1990-10-01,62.8
1991-01-01,64.51
1991-04-01,66.09
1991-07-01,65.96
1991-10-01,67.56
1992-01-01,68.68
1992-04-01,70.23
1992-07-01,71.41
1992-10-01,73.49
1993-01-01,75.38
1993-04-01,77.52
1993-07-01,80.74
1993-10-01,83.97
1994-01-01,87.76
1994-04-01,92.83
1994-07-01,96.1
1994-10-01,98.23
1995-01-01,100.00
1995-04-01,103.24
1995-07-01,106.96
1995-10-01,109
1996-01-01,111.24
1996-04-01,113.16
1996-07-01,115.38
1996-10-01,117.55
1997-01-01,119.46
1997-04-01,120.15
1997-07-01,122.26
1997-10-01,124.45
1998-01-01,126.09
1998-04-01,127.33
1998-07-01,128.38
1998-10-01,129.68
1999-01-01,130.45
1999-04-01,129.93
1999-07-01,128.76
1999-10-01,129.19
2000-01-01,130.08
2000-04-01,130.35
2000-07-01,131.41
2000-10-01,133.33
2001-01-01,136.33
2001-04-01,136.64
2001-07-01,137.04
2001-10-01,138.18
2002-01-01,138.33
2002-04-01,138.24
2002-07-01,140
2002-10-01,140.59
2003-01-01,140.92
2003-04-01,141.47
2003-07-01,141.97
2003-10-01,142.54
2004-01-01,144.02
2004-04-01,145.41
2004-07-01,147.65
2004-10-01,149.8
2005-01-01,152.1
2005-04-01,157.35
2005-07-01,162.86
2005-10-01,169.28
2006-01-01,175.71
2006-04-01,185.91
2006-07-01,195.37
2006-10-01,202.82
2007-01-01,209.16
2007-04-01,214.49
2007-07-01,217.43
2007-10-01,218.66
2008-01-01,217.5
2008-04-01,213.64
2008-07-01,207.63
2008-10-01,206.69
2009-01-01,204.55
2009-04-01,195.89
2009-07-01,187.39
2009-10-01,185.71
2010-01-01,183.07
2010-04-01,180.1
2010-07-01,181.87
2010-10-01,180.88
2011-01-01,173.51
2011-04-01,170.75
2011-07-01,172.44
2011-10-01,173.36
2012-01-01,173.23
2012-04-01,172.57
2012-07-01,176.99
2012-10-01,179.98
2013-01-01,182.4
2013-04-01,188.42
2013-07-01,193.43
2013-10-01,196.57
2014-01-01,197.82
2014-04-01,201.75
2014-07-01,203.95
2014-10-01,205.66
2015-01-01,206.96
2015-04-01,211.09
2015-07-01,215.36
2015-10-01,218.19
2016-01-01,221.36
2016-04-01,227.21
2016-07-01,232.62
2016-10-01,235.98
2017-01-01,241.63
2017-04-01,250.55
2017-07-01,256.23
2017-10-01,259.57
2018-01-01,266.64
2018-04-01,275.97
2018-07-01,282.78
2018-10-01,286.48
2019-01-01,291.6
2019-04-01,297.61
2019-07-01,302.21
